beta,estimator,sign_error,sign_error_lo,sign_error_hi,mse,mse_lo,mse_hi,n_trials
0.0,x_pf,0.5151,0.4928975,0.5375999999999999,0.44218106209477126,0.40044330095996156,0.4857838013235768,200
0.0,adaptive_x,0.4824,0.45834625000000007,0.5060525,0.40846905135583556,0.361499044532896,0.46289699249734056,200
0.0,bo_x,0.51815,0.49565,0.5411,0.4168776500079211,0.37678421185430366,0.4610592270676513,200
0.0,rl_x,0.5148,0.4925487499999999,0.53790125,0.4288043725907116,0.3819436027630526,0.4801129441480032,200
0.0,oracle_x,0.4977500000000001,0.49079999999999996,0.50485,0.80777176474017,0.7453563041698991,0.8735790044318277,200
0.0,xy_snapshot,0.21969999999999998,0.21175,0.2275,0.13230258986223237,0.12527096870800172,0.13988796153959515,200
0.0,xy_pf,0.1418,0.13269874999999998,0.15125249999999998,0.047546886355580485,0.0457120936118239,0.04936852011433263,200
0.5,x_pf,0.31124999999999997,0.28114875,0.3416525,0.29400713123379624,0.24571537693138204,0.354486676046899,200
0.5,adaptive_x,0.3115,0.2839,0.34009999999999996,0.32229795925914173,0.28254441580978723,0.3638470393336737,200
0.5,bo_x,0.30105000000000004,0.272,0.32985,0.40770978397268687,0.3747503409874217,0.4413674272975337,200
0.5,rl_x,0.28990000000000005,0.26199875,0.31960125,0.26886071101419184,0.22626081343766583,0.3163992014543433,200
0.5,oracle_x,0.31175,0.2823975,0.34325375,0.3647993339967133,0.2939523597888522,0.44353990396035375,200
0.5,xy_snapshot,0.20475,0.19505000000000003,0.21425124999999995,0.13497759122052894,0.1288260770548054,0.14147223350490937,200
0.5,xy_pf,0.1231,0.11369875000000002,0.13225125,0.0453500935531925,0.04358539949902679,0.04716386421673181,200
1.0,x_pf,0.16075,0.13744750000000003,0.18430124999999997,0.12058388434735495,0.09759800046718888,0.1488802880222352,200
1.0,adaptive_x,0.1522,0.13224875,0.17315249999999993,0.23895970834809663,0.20045742609042064,0.2810019596978316,200
1.0,bo_x,0.15275000000000002,0.13264875,0.17375249999999995,0.36277223350800897,0.3348366709433815,0.39338726251810896,200
1.0,rl_x,0.14005,0.12124875,0.1600525,0.09962722368518499,0.0815849714683006,0.12026525354394049,200
1.0,oracle_x,0.15995,0.13709875,0.18375,0.11386248346842925,0.08385732866920537,0.14717362829154332,200
1.0,xy_snapshot,0.17675000000000002,0.16655,0.18635124999999997,0.1525522367149962,0.14381958521800564,0.16181956277133042,200
1.0,xy_pf,0.07725,0.0684,0.0863,0.03659752695754186,0.03477091290946139,0.038415612638249504,200
