phi_deg,trial,sign_error
0,0,0.31
0,1,0.47
0,2,0.16
0,3,0.75
0,4,0.75
0,5,0.31
0,6,0.56
0,7,0.52
0,8,0.63
0,9,0.4
0,10,0.29
0,11,0.55
0,12,0.2
0,13,0.1
0,14,0.24
0,15,0.33
0,16,0.37
0,17,0.35
0,18,0.86
0,19,0.6
0,20,0.52
0,21,0.23
0,22,0.12
0,23,0.1
0,24,0.21
0,25,0.12
0,26,0.3
0,27,0.24
0,28,0.38
0,29,0.26
0,30,0.26
0,31,0.16
0,32,0.45
0,33,0.23
0,34,0.12
0,35,0.25
0,36,0.35
0,37,0.15
0,38,0.41
0,39,0.66
15,0,0.21
15,1,0.38
15,2,0.38
15,3,0.11
15,4,0.08
15,5,0.32
15,6,0.12
15,7,0.2
15,8,0.22
15,9,0.13
15,10,0.3
15,11,0.16
15,12,0.1
15,13,0.7
15,14,0.15
15,15,0.34
15,16,0.09
15,17,0.27
15,18,0.2
15,19,0.18
15,20,0.04
15,21,0.32
15,22,0.39
15,23,0.09
15,24,0.6
15,25,0.25
15,26,0.41
15,27,0.57
15,28,0.24
15,29,0.07
15,30,0.1
15,31,0.04
15,32,0.81
15,33,0.12
15,34,0.48
15,35,0.4
15,36,0.21
15,37,0.36
15,38,0.4
15,39,0.33
30,0,0.52
30,1,0.11
30,2,0.22
30,3,0.03
30,4,0.25
30,5,0.28
30,6,0.4
30,7,0.07
30,8,0.23
30,9,0.01
30,10,0.26
30,11,0.24
30,12,0.45
30,13,0.18
30,14,0.12
30,15,0.19
30,16,0.46
30,17,0.12
30,18,0.53
30,19,0.44
30,20,0.2
30,21,0.69
30,22,0.38
30,23,0.29
30,24,0.28
30,25,0.21
30,26,0.47
30,27,0.27
30,28,0.19
30,29,0.44
30,30,0.3
30,31,0.57
30,32,0.26
30,33,0.22
30,34,0.44
30,35,0.4
30,36,0.02
30,37,0.04
30,38,0.12
30,39,0.04
45,0,0.13
45,1,0.52
45,2,0.02
45,3,0.35
45,4,0.36
45,5,0.24
45,6,0.21
45,7,0.11
45,8,0.42
45,9,0.34
45,10,0.35
45,11,0.28
45,12,0.35
45,13,0.22
45,14,0.09
45,15,0.3
45,16,0.31
45,17,0.22
45,18,0.22
45,19,0.32
45,20,0.07
45,21,0.3
45,22,0.12
45,23,0.4
45,24,0.6
45,25,0.27
45,26,0.13
45,27,0.31
45,28,0.21
45,29,0.12
45,30,0.03
45,31,0.1
45,32,0.2
45,33,0.1
45,34,0.09
45,35,0.07
45,36,0.31
45,37,0.38
45,38,0.3
45,39,0.35
60,0,0.25
60,1,0.17
60,2,0.18
60,3,0.34
60,4,0.09
60,5,0.1
60,6,0.31
60,7,0.2
60,8,0.39
60,9,0.37
60,10,0.48
60,11,0.33
60,12,0.12
60,13,0.41
60,14,0.07
60,15,0.11
60,16,0.38
60,17,0.29
60,18,0.42
60,19,0.29
60,20,0.3
60,21,0.14
60,22,0.11
60,23,0.04
60,24,0.11
60,25,0.17
60,26,0.27
60,27,0.06
60,28,0.06
60,29,0.15
60,30,0.18
60,31,0.33
60,32,0.38
60,33,0.28
60,34,0.28
60,35,0.15
60,36,0.12
60,37,0.34
60,38,0.02
60,39,0.2
75,0,0.06
75,1,0.12
75,2,0.08
75,3,0.43
75,4,0.29
75,5,0.21
75,6,0.21
75,7,0.31
75,8,0.18
75,9,0.23
75,10,0.25
75,11,0.11
75,12,0.12
75,13,0.18
75,14,0.29
75,15,0.25
75,16,0.14
75,17,0.35
75,18,0.21
75,19,0.16
75,20,0.16
75,21,0.15
75,22,0.32
75,23,0.25
75,24,0.05
75,25,0.21
75,26,0.22
75,27,0.23
75,28,0.07
75,29,0.31
75,30,0.2
75,31,0.12
75,32,0.18
75,33,0.31
75,34,0.28
75,35,0.21
75,36,0.12
75,37,0.17
75,38,0.27
75,39,0.05
90,0,0.16
90,1,0.24
90,2,0.22
90,3,0.13
90,4,0.14
90,5,0.23
90,6,0.22
90,7,0.14
90,8,0.13
90,9,0.3
90,10,0.14
90,11,0.22
90,12,0.27
90,13,0.19
90,14,0.13
90,15,0.25
90,16,0.34
90,17,0.21
90,18,0.26
90,19,0.18
90,20,0.24
90,21,0.2
90,22,0.28
90,23,0.21
90,24,0.13
90,25,0.22
90,26,0.25
90,27,0.33
90,28,0.2
90,29,0.2
90,30,0.23
90,31,0.16
90,32,0.13
90,33,0.1
90,34,0.27
90,35,0.17
90,36,0.19
90,37,0.33
90,38,0.18
90,39,0.19
