config,trial,sign_error,mse,entropy_final,sign_prob_final
x_only_shots1,0,0.73,0.25697740924257145,0.9994305785325381,0.48595291926240436
x_only_shots1,1,0.4,0.32923010898595834,0.9991420060067557,0.48275763629531415
x_only_shots1,2,0.81,0.7410117525555523,0.999836235166675,0.5075335528587804
x_only_shots1,3,0.68,0.641281352674373,0.9998689183510785,0.4932599657433573
x_only_shots1,4,0.68,0.3500872161073062,0.9973078389841687,0.5305360671765795
x_only_shots1,5,0.31,0.2073298040479613,0.9946980424825491,0.45715999108060135
x_only_shots1,6,0.08,0.4532594998683001,0.9872794060546675,0.5662996930799482
x_only_shots1,7,0.64,0.8906816482613417,0.9933737355959975,0.5478849682060838
x_only_shots1,8,0.52,0.24787863943677121,0.9999996501953792,0.5003481853436377
x_only_shots1,9,0.65,0.2754748729256464,0.9949263071515106,0.45809122233307686
x_only_shots1,10,0.57,0.23935211158156122,0.9996684013998856,0.4892801813359074
x_only_shots1,11,0.15,0.4573548579537675,0.9760433129563015,0.5908663585061282
x_only_shots1,12,0.62,0.13981575869975996,0.9989243313572301,0.4806944131957058
x_only_shots1,13,0.53,0.3072407557186912,0.9921301161169526,0.44782212335236454
x_only_shots1,14,0.47,0.20743733985534957,0.9999703550240315,0.503205322976336
x_only_shots1,15,0.8,0.44541702195405647,0.9991915050760392,0.4832622987799598
x_only_shots1,16,0.38,0.22469728441738493,0.9991991598698265,0.4833417083908335
x_only_shots1,17,0.62,0.42864892331556775,0.9996622741948809,0.48918160311247794
x_only_shots1,18,0.51,0.19626361372801185,0.9993684250347046,0.5147937574779594
x_only_shots1,19,0.55,0.3487502520537983,0.9999137056970958,0.4945312953933625
x_only_shots1,20,0.35,0.17012466901568352,0.9418739960368208,0.640971283843925
x_only_shots1,21,0.31,0.14660954188906744,0.992052232177854,0.44756504437947275
x_only_shots1,22,0.54,0.20903254112678268,0.9915901508709872,0.5539348106912217
x_only_shots1,23,0.43,0.1724732781247685,0.9947025756941923,0.45717828677899836
x_only_shots1,24,0.67,0.2723798115107612,0.999554842024327,0.5124203111477107
x_only_shots1,25,0.61,0.14657421455042147,0.9931831098731008,0.4514322058666224
x_only_shots1,26,0.5,0.17420238997313234,0.9995257368032432,0.4871801292120684
x_only_shots1,27,0.47,0.18205544100800108,0.9999776399576055,0.502783767256069
x_only_shots1,28,0.57,0.2977702722581436,0.9987619094477402,0.4792884880188841
x_only_shots1,29,0.31,0.21428721901402098,0.9999781589742244,0.4972487303803582
x_only_shots1,30,0.71,0.9726609752600274,0.9914073484370554,0.5545166866462312
x_only_shots1,31,0.52,0.3494454132392687,0.9992402718974824,0.4837748505597714
x_only_shots1,32,0.56,0.42254908989583484,0.996016566019994,0.5371386850843605
x_only_shots1,33,0.66,0.4782892052759882,0.9910652189776861,0.5555892200595463
x_only_shots1,34,0.36,0.0955496208728625,0.9999989724134556,0.5005967698664073
x_only_shots1,35,0.46,0.36359942643380366,0.9992024300069009,0.48337574799300187
x_only_shots1,36,0.61,0.27140084828796274,0.9971412524289937,0.4685339576013593
x_only_shots1,37,0.37,0.3903218728460597,0.9957639174095647,0.5382972176803865
x_only_shots1,38,0.54,0.17508287935577088,0.9997214153351694,0.4901743258391935
x_only_shots1,39,0.35,0.19509441141211123,0.9981992991351516,0.524976302244363
x_only_shots2,0,0.9,0.6657929195989251,0.9988764297992205,0.4802693472029107
x_only_shots2,1,0.47,0.3220188173240499,0.98724201827016,0.5663967657843254
x_only_shots2,2,0.34,0.2824842314613317,0.9999997304333188,0.49969434547819047
x_only_shots2,3,0.15,0.38039930376750486,0.999995110376797,0.5013017727735987
x_only_shots2,4,0.35,0.2415996311515309,0.9989140071619917,0.48060201072475484
x_only_shots2,5,0.53,1.0367928910553312,0.999244529516623,0.48382037044186066
x_only_shots2,6,0.81,0.6146996155238343,0.9993218331162522,0.5153296412825124
x_only_shots2,7,0.59,0.4675068031829025,0.9918749122621293,0.5530155684415115
x_only_shots2,8,0.5,0.2407500724328701,0.9995581232301962,0.5123744568682824
x_only_shots2,9,0.57,0.8650858832048826,0.9999220650944084,0.49480291488726824
x_only_shots2,10,0.48,0.27834415780723193,0.9911314627803629,0.4446168113122812
x_only_shots2,11,0.64,0.2490396579918789,0.997235235547526,0.46905517660316964
x_only_shots2,12,0.24,0.23407485342915643,0.9738132751203662,0.4050232577498717
x_only_shots2,13,0.85,2.1056779510246013,0.9966348098103919,0.534137647079719
x_only_shots2,14,0.44,0.19616440464661897,0.9952469935436397,0.5405642296204023
x_only_shots2,15,0.52,0.8901778830227768,0.8708862701942329,0.7083163019789314
x_only_shots2,16,0.67,0.4453778717661222,0.9338814932372581,0.34979125838138336
x_only_shots2,17,0.57,1.0624055791321216,0.9863346998705214,0.5687099687246083
x_only_shots2,18,0.54,0.5373640440452185,0.9251976528352135,0.659603468687991
x_only_shots2,19,0.51,0.24611702512767145,0.9998774545246942,0.49348311249058807
x_only_shots2,20,0.6,0.4234032440501448,0.9999715461421993,0.49685973077200996
x_only_shots2,21,0.6,0.1775979242425523,0.9929368411367374,0.5494358866299152
x_only_shots2,22,0.78,0.9842401662530297,0.8296178098446655,0.7380880751297367
x_only_shots2,23,0.52,0.11542490590996853,0.9779623615373403,0.41282951027182063
x_only_shots2,24,0.28,0.3765270948239586,0.9812483044483556,0.5804402675172663
x_only_shots2,25,0.6,0.2691005327938976,0.9999945969527084,0.49863158808809044
x_only_shots2,26,0.55,0.2984142367774289,0.9936501058981826,0.4531227671440097
x_only_shots2,27,0.38,0.28180883985720767,0.9985515888306467,0.522401184046259
x_only_shots2,28,0.35,0.4889050707784226,0.9996512366176298,0.5109937453680127
x_only_shots2,29,0.76,0.4683209000356986,0.9803897635614547,0.4177470983048056
x_only_shots2,30,0.21,0.1856727924458554,0.7549417042518598,0.7828432604202766
x_only_shots2,31,0.51,0.6802045458908766,0.9996076077267819,0.4883389336199829
x_only_shots2,32,0.37,0.5579530969506115,0.9997372375823929,0.49045741200792803
x_only_shots2,33,0.43,0.20090863193568456,0.9999800674144561,0.49737167811697314
x_only_shots2,34,0.77,0.2915079996356403,0.9912882039531574,0.5548925874907757
x_only_shots2,35,0.55,0.549852360824285,0.9999999951766454,0.500040885783857
x_only_shots2,36,0.61,0.3907964930049023,0.9994651027372465,0.4863853625519565
x_only_shots2,37,0.27,0.27446042054442105,0.9999109638400423,0.5055549029534742
x_only_shots2,38,0.23,0.29464411685383035,0.9453251607981199,0.3632219136101909
x_only_shots2,39,0.18,0.5984064269942426,0.9982099946556537,0.47509795259652327
xy_halfshots,0,0.2,0.21967188291704726,0.8147827106517709,0.7477768794988816
xy_halfshots,1,0.17,0.20924663071294206,0.07021832883040395,0.9915666565599174
xy_halfshots,2,0.19,0.35002319635370055,0.9913655306813174,0.4453510814648532
xy_halfshots,3,0.28,0.26040962679558743,0.8035403403386913,0.7548252383205252
xy_halfshots,4,0.3,0.22281310227082823,0.984940217128909,0.5721189066400788
xy_halfshots,5,0.18,0.19852510125291964,0.8263808234397552,0.7402420980503774
xy_halfshots,6,0.16,0.1916986134287889,0.3966239508577954,0.921569702655232
xy_halfshots,7,0.19,0.22761870038850943,0.0363944685264532,0.9961537132882126
xy_halfshots,8,0.3,0.20608688979530004,0.08294989840480338,0.010326494323160868
xy_halfshots,9,0.28,0.20011485683297306,0.8354654592603432,0.734137001465221
xy_halfshots,10,0.24,0.3848193204731135,0.6404136074344831,0.16256623424362768
xy_halfshots,11,0.35,0.2305046324144758,0.8900748914710688,0.6926635440451971
xy_halfshots,12,0.34,0.276625099016023,0.9789636768376475,0.5851770449362956
xy_halfshots,13,0.35,0.2235539882442253,0.8422306908124042,0.7294654120325965
xy_halfshots,14,0.18,0.3187252061394362,0.7380327739049499,0.7917975168320456
xy_halfshots,15,0.31,0.1377748957339821,0.9295341815814955,0.654988111286894
xy_halfshots,16,0.36,0.23917458156247587,0.998271058847767,0.47552621934513917
xy_halfshots,17,0.29,0.17864263634436064,0.3569796524784118,0.9323797017203269
xy_halfshots,18,0.28,0.22143673944938477,0.9839154078926357,0.42547653275003716
xy_halfshots,19,0.27,0.3044652882447972,0.9715424121604697,0.5989829677963043
xy_halfshots,20,0.22,0.3481751223512068,0.07711323488916863,0.9905516839202524
xy_halfshots,21,0.32,0.2896777279242775,0.16246855147890574,0.97616389815284
xy_halfshots,22,0.26,0.15179617686713057,0.6046167459467393,0.8520775405541813
xy_halfshots,23,0.32,0.18971697268884172,0.8164858581430572,0.2533122665506892
xy_halfshots,24,0.36,0.14603848781018816,0.4443299508521503,0.9076304646211605
xy_halfshots,25,0.17,0.5604231717835174,0.919402981973851,0.3344444868235475
xy_halfshots,26,0.3,0.24122422520298753,0.14925062495005498,0.9785963680288218
xy_halfshots,27,0.34,0.16429413130455844,0.47793526919795204,0.8971596166713625
xy_halfshots,28,0.25,0.1454156384887732,0.743106463291171,0.7891488876920681
xy_halfshots,29,0.29,0.13092715710774597,0.11390778275848072,0.015256791653695046
xy_halfshots,30,0.29,0.26951213460615664,0.9592074556154574,0.618337903479716
xy_halfshots,31,0.31,0.1355278615206409,0.942607475938871,0.3599088187382523
xy_halfshots,32,0.33,0.19575851588689808,0.926478926967153,0.34174516626998364
xy_halfshots,33,0.32,0.23384377310372542,0.8456162875338267,0.2729148853544041
xy_halfshots,34,0.26,0.17451564670620587,0.864199520584718,0.2865322694336773
xy_halfshots,35,0.2,0.14205416373022017,0.3825795032428855,0.07452278309849555
xy_halfshots,36,0.25,0.29341693537855,0.743704413011189,0.7888346257137311
xy_halfshots,37,0.24,0.35864710501170044,0.9972892302341744,0.5306413551585921
xy_halfshots,38,0.38,0.24894787709552463,0.38020540067972664,0.9261292133191498
xy_halfshots,39,0.43,0.16737130649948687,0.9793034632345009,0.41551031538211686
