qubit_id,rho_true,sigma_true,theta_true,beta_true,beta_hat,entropy_final,sign_error_run
0,0.8718486186333652,0.11528822823082548,0.5601074975068665,2.379487505843442,2.1655508832432253,0.004240617157410408,0.008
1,0.9172652751539099,0.23735105329787434,-0.176885740162688,-0.296815568406239,-0.6850386713080738,0.9854634806940877,0.244
2,0.8963550517932127,0.10392673708703533,0.03489395251457367,0.14885271807714318,0.29813493878671427,0.9912904912376916,0.328
3,0.8831563989401061,0.2866620138184208,-1.0987382695921712,-1.7979175253441033,-1.5272670349931665,4.130580026464068e-11,0.096
4,0.8637600264873591,0.11137778333431331,-0.08102877825202379,-0.3665962280591006,-0.0902288201896358,0.9694667487533455,0.628
5,0.8986207606614971,0.16031274386015726,0.7127270136570822,1.9505127750665032,1.8693497033529833,0.0494819437107958,0.02
6,0.8948743493696228,0.15233236955853405,0.05204487001662271,0.15248611064162088,0.15552495110906306,0.9873429853672129,0.416
7,0.9425924782826359,0.24342496115230935,1.0353824959360194,1.4204009693067516,1.5831530234123776,0.7041632721918898,0.02
8,0.8741694195724203,0.24630222256240936,0.6906336386502593,1.361685837402013,1.5842125428679654,4.1304950338020633e-11,0.08
9,0.9474236931432145,0.1477986448175767,-0.8284793566687604,-1.7936450467092202,-1.8622970688906963,4.130580026464068e-11,0.0
10,0.8926068206858616,0.13632101912950223,0.6955969445892802,2.300453143135335,2.557029292035801,0.008952670516658644,0.012
11,0.9069600876308168,0.20926874566378997,-0.5042479030177291,-1.0149512380624326,-1.0520774868062894,0.8437332393973183,0.076
12,0.9627243056425656,0.14783483739878608,-1.1200197109434948,-2.0492332746740054,-1.9993482389832644,4.130580026464068e-11,0.0
13,0.8547603674752607,0.2538431290557525,-0.6811344979180036,-1.392688337165705,-1.5765053931462647,4.130580026464068e-11,0.048
14,0.8651282572579541,0.21265815680917424,0.20486370753567384,0.4831676160432874,0.2291552490633925,0.9693357392081285,0.392
15,0.9342490020615078,0.2761575190447449,-1.2044717714919169,-1.555417993997189,-1.3329154253359794,0.9272348914633857,0.164
16,0.9034422587388131,0.279398442192018,-0.7240109181010355,-1.110924481669207,-1.1626147806023748,0.2680063033829686,0.16
17,0.9176355265793245,0.1161205932487342,-0.5204400949767043,-1.7812074301926764,-1.6524178980938296,0.34488428581455427,0.076
18,0.8854723290772936,0.2720283642143789,-0.16437204019718088,-0.2807883285802232,-0.4236239888428954,0.9680831115484456,0.276
19,0.9082316180899073,0.23357669585730548,-0.58288649995489,-1.0442790539346007,-1.2769842219309995,0.3950315285329497,0.144
20,0.8588628171591517,0.25628925721453216,0.051738765976003714,0.103402265987802,-0.053334337597547216,0.9999602137183596,0.48
21,0.8971837672083667,0.14048829338928326,-0.5471156602573666,-1.7199845771407833,-2.072134460882065,4.130580026464068e-11,0.056
22,0.9168650251879088,0.14104397813939923,0.6075753359601839,1.7196229733452513,1.913818187074361,0.2652425070099566,0.012
23,0.9517659414711858,0.11282300086151612,0.8486683060551631,2.307975037492041,1.759535432053276,4.1304950338020633e-11,0.0
24,0.9533882137867391,0.2520017230532124,0.1439756673385877,0.17239622206701555,0.6723696181906875,0.9938261379126809,0.396
25,0.9506835988564584,0.17424614878182304,-1.3478419795225642,-2.3991913951854187,-2.193245509191553,1.3997946315171696e-05,0.0
26,0.8531478179703339,0.20564090440698884,-0.4482579012409511,-1.137139332133394,-1.412664244551898,0.04874180406155803,0.044
27,0.8841908082693234,0.21026204060527587,-0.2827115865259991,-0.6280824935103224,-0.7186901499399541,0.8457995907927961,0.264
28,0.9788375077573364,0.2570101826123426,-2.278228049984642,-1.8139918738897485,-2.3076944047640815,4.130580026464068e-11,0.012
29,0.8580556961945541,0.26042473571744745,-1.2488818159566075,-2.4627904376160754,-2.8058838621899387,4.130580026464068e-11,0.004
30,0.9023038764252951,0.16111513579523223,-0.8598530678366623,-2.3007345581084544,-2.2160635801216633,0.10429134409361226,0.016
31,0.8945169051510966,0.12225587043288792,-0.5721141661178065,-2.0919613359690126,-1.7515196999261344,0.3929581822352158,0.056
